ID,Sol,Blue,White,Black,n_stmts,max_per_box,f_content,f_identity,f_adjacency,f_truthref,f_boxagg,f_coupling,f_globalcount,oos_type,in_scope,notes
1,1,THIS BOX IS THE WHITE BOX.,THIS BOX IS THE BLACK BOX.,THE BLUE BOX CONTAINS THE GEMS.,3,1,1,1,0,0,0,0,0,-,Y,Boite bout tout exprimable: identite couleur (Blue/White/Black) + localisation gemmes
2,2,YOU ARE IN THE PARLOR.,THIS BOX IS EMPTY.,THE BLUE BOX IS TRUE.,3,1,1,0,0,1,0,0,0,EXT,N,HARD - fait hors-jeu: 'you are in the parlor'
3,2,THIS BOX IS THE MIDDLE BOX.,THE GEMS ARE IN THE MIDDLE BOX.,THIS BOX IS THE MIDDLE BOX.,3,1,1,1,0,0,0,0,0,-,Y,
4,1,THIS BOX IS THE BLACK BOX.,THIS BOX IS THE BLUE BOX.,THE BOX THAT CLAIMS TO BE BLACK HAS THE GEMS.,3,1,1,1,0,0,0,0,0,DESC,N,SOFT - reference par description: 'the box that claims to be black'
5,1,THE STATEMENT ON THE WHITE BOX IS TRUE.,THERE IS A SECOND WIND-UP KEY IN THIS ROOM.,THIS BOX AND THE WHITE BOX ARE BOTH EMPTY.,3,1,1,0,0,1,0,0,0,EXT,N,HARD - fait hors-jeu: 'second wind-up key in this room'
6,3,THE BLACK BOX CONTAINS GEMS.,THIS BOX AND THE BLUE BOX ARE EMPTY.,ALL THREE BOXES ARE EMPTY.,3,1,1,0,0,0,0,0,0,-,Y,
7,3,ALL THREE BOXES CONTAIN GEMS.,THE OTHER TWO BOXES CONTAIN GEMS.,THIS BOX CONTAINS GEMS.,3,1,1,0,0,0,0,0,0,-,Y,
8,1,THE GEMS ARE NOT IN THE WHITE BOX.,THE GEMS ARE NOT IN THIS BOX.,THE GEMS ARE IN THIS BOX.,3,1,1,0,0,0,0,0,0,-,Y,
9,3,THERE ARE THREE BOXES IN THIS ROOM.,TWO BOXES IN THIS ROOM ARE EMPTY.,THIS BOX IS ONE OF THE TWO EMPTY BOXES.,3,1,1,0,0,0,0,0,0,EXT,N,SOFT - constante d'environnement: 'three boxes in this room'
10,1,THIS STATEMENT APPEARS ON ANOTHER BOX.,THE BLUE BOX IS EMPTY.,THIS STATEMENT APPEARS ON ANOTHER BOX.,3,1,1,0,0,0,0,0,0,SAME,N,HARD - 'this statement appears on another box'
11,1,THIS IS THE BLUE BOX.,THE BLUE BOX IS TRUE.,THE BLUE BOX IS EMPTY.,3,1,1,1,0,1,0,0,0,-,Y,
12,3,TWO OF THESE STATEMENTS ARE TRUE.,THE STATEMENT ON THE BLUE BOX IS TRUE.,THE GEMS ARE IN A BOX WITH A TRUE STATEMENT.,3,1,0,0,0,1,0,1,1,-,Y,
13,3,THERE ARE FOUR BOXES IN THIS ROOM.,THERE IS ONLY ONE BOX IN THIS ROOM.,THE GEMS ARE IN THE TRUE BOX.,3,1,0,0,0,1,0,1,0,EXT,N,SOFT - constante d'environnement: 'four / one box in this room'
14,3,THIS IS THE BLACK BOX.,THIS IS THE BLACK BOX.,THE BLACK BOX IS NOT EMPTY.,3,1,1,1,0,0,0,0,0,-,Y,
15,2,A BOX NEXT TO THIS BOX CONTAINS GEMS.,BOTH BOXES NEXT TO THIS BOX CONTAIN GEMS.,A BOX NEXT TO THIS BOX IS TRUE.,3,1,0,0,1,1,0,0,0,-,Y,
16,2,ALL THREE STATEMENTS ARE FALSE.,TWO STATEMENTS ARE FALSE.,THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.,3,1,0,0,0,0,0,1,1,-,Y,
17,2,EVERY BOX IS BLACK.,EVERY BOX CONTAINS GEMS.,THE STATEMENT ON ONE OF THE OTHER TWO BOXES WOULD BE TRUE IF YOU REPLACED THE WORD ‘EVERY’ WITH THE WORD ‘THIS’,3,1,1,1,0,1,0,0,0,CF,N,HARD - reecriture contrefactuelle: 'replace EVERY with THIS'
18,2,THIS BOX IS NOT EMPTY.,THIS BOX CONTAINS GEMS.,ALL STATEMENTS THAT CONTAIN THE WORD ‘GEMS’ ARE FALSE.,3,1,1,0,0,1,0,0,0,META,N,HARD - mention de mot: 'the word GEMS'
19,2,THE GEMS ARE ON THE DESK.,THE GEMS ARE IN THIS BOX.,THE GEMS ARE ON THE FLOOR.,3,1,1,0,0,0,0,0,0,EXT,N,HARD - localisation hors-boite: 'on the desk / on the floor'
20,3,THE OTHER TWO BOXES ARE TRUE.,THE OTHER TWO BOXES ARE BLUE.,THE OTHER TWO BOXES ARE EMPTY.,3,1,1,1,0,1,0,0,0,-,Y,
21,2,THE GEMS ARE NOT IN THIS BOX.,THE BLUE BOX IS TRUE.,THE GEMS ARE IN THIS BOX.,3,1,1,0,0,1,0,0,0,-,Y,
22,2,THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.,THE BLUE BOX IS FALSE.,THE WHITE BOX IS FALSE.,3,1,0,0,0,1,0,1,0,-,Y,
23,3,THIS BOX CONTAINS THE GEMS.,THIS BOX DOES NOT CONTAIN THE GEMS.,THE OTHER TWO BOXES ARE TRUE.,3,1,1,0,0,1,0,0,0,-,Y,
24,3,A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS.,THE STATEMENT ON THE BLUE BOX IS TRUE.,THE BLUE BOX CONTAINS THE GEMS.,3,1,1,0,0,1,0,1,0,-,Y,
25,1,THE BLACK BOX IS NOT EMPTY.,THE STATEMENT ON THE BLACK BOX IS TRUE.,A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS.,3,1,1,0,0,1,0,1,0,-,Y,
26,3,THE GEMS ARE NOT IN THIS BOX.,THE GEMS ARE IN THIS BOX.,THE WHITE BOX IS TRUE.,3,1,1,0,0,1,0,0,0,-,Y,
27,2,THERE ARE TWO FALSE STATEMENTS.,THIS IS THE ONLY TRUE STATEMENT.,THE WHITE BOX IS EMPTY.,3,1,1,0,0,0,0,0,1,-,Y,
28,2,THIS BOX IS EMPTY.,A BOX WITH A FALSE STATEMENT IS EMPTY.,THERE ARE TWO FALSE STATEMENTS.,3,1,1,0,0,0,0,1,1,-,Y,
