Solution,1 Blue,2 White,3 Black
1,'THIS BOX IS THE WHITE BOX.','THIS BOX IS THE BLACK BOX.',THE BLUE BOX CONTAINS THE GEMS.
2,YOU ARE IN THE PARLOR.,THIS BOX IS EMPTY.,THE BLUE BOX IS TRUE.
2,'THIS BOX IS THE <br>MIDDLE BOX. ',THE GEMS ARE IN THE <br>MIDDLE BOX.,'THIS BOX IS THE <br>MIDDLE BOX. '
1,'THIS BOX IS THE BLACK BOX.','THIS BOX IS THE BLUE BOX.','THE BOX THAT CLAIMS TO <br>BE BLACK HAS THE GEMS.'
1,THE STATEMENT ON THE WHITE BOX IS TRUE.,'THERE IS A SECOND WIND-UP <br>KEY IN THIS ROOM.','THIS BOX AND THE WHITE BOX ARE BOTH EMPTY. '
3,THE BLACK BOX<br>CONTAINS GEMS.,THIS BOX AND THE<br>BLUE BOX ARE EMPTY.,ALL THREE BOXES<br>ARE EMPTY.
3,ALL THREE BOXES <br>CONTAIN GEMS.,THE OTHER TWO BOXES CONTAIN GEMS.,'THIS BOX CONTAINS GEMS. '
1,'THE GEMS ARE NOT IN THE WHITE BOX.','THE GEMS ARE NOT <br>IN THIS BOX. ','THE GEMS ARE IN THIS BOX.'
3,'THERE ARE THREE BOXES <br>IN THIS ROOM.',TWO BOXES IN THIS ROOM ARE EMPTY.,THIS BOX IS ONE OF THE <br>TWO EMPTY BOXES.
1,THIS STATEMENT APPEARS ON ANOTHER BOX.,THE BLUE BOX IS EMPTY.,THIS STATEMENT APPEARS ON ANOTHER BOX.
1,THIS IS THE BLUE BOX.,THE BLUE BOX IS TRUE.,THE BLUE BOX IS EMPTY.
3,'TWO OF THESE <br>STATEMENTS ARE TRUE.','THE STATEMENT ON THE BLUE BOX IS TRUE. ','THE GEMS ARE IN A BOX <br>WITH A TRUE STATEMENT.'
3,THERE ARE FOUR BOXES <br>IN THIS ROOM.,THERE IS ONLY ONE BOX<br>IN THIS ROOM.,THE GEMS ARE IN<br>THE TRUE BOX.
3,THIS IS THE BLACK BOX.,THIS IS THE BLACK BOX.,THE BLACK BOX IS NOT EMPTY.
2,'A BOX NEXT TO THIS BOX CONTAINS GEMS. ',BOTH BOXES NEXT TO THIS BOX CONTAIN GEMS.,A BOX NEXT TO THIS BOX IS TRUE.
2,'ALL THREE STATEMENTS <br>ARE FALSE.','TWO STATEMENTS ARE FALSE.','THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.'
2,EVERY BOX IS BLACK.,'EVERY BOX CONTAINS GEMS.','THE STATEMENT ON ONE OF THE OTHER<br>TWO BOXES WOULD BE TRUE IF YOU<br> REPLACED THE WORD <color=#152C3F>‘EVERY’</color><br> WITH THE WORD <color=#152C3F>‘THIS’ '
2,THIS BOX <br>IS NOT EMPTY.,'THIS BOX CONTAINS GEMS.','ALL STATEMENTS THAT<br>CONTAIN THE WORD<br> <color=#152C3F>‘GEMS’</color> ARE FALSE.'
2,THE GEMS ARE<br>ON THE DESK.,THE GEMS ARE<br>IN THIS BOX.,THE GEMS ARE<br>ON THE FLOOR.
3,THE OTHER TWO<br>BOXES ARE TRUE.,THE OTHER TWO<br>BOXES ARE BLUE.,THE OTHER TWO<br>BOXES ARE EMPTY.
2,THE GEMS ARE<br>NOT IN THIS BOX.,THE BLUE BOX IS TRUE.,THE GEMS ARE IN<BR>THIS BOX.
